Order #,,UPC,Product Name,Unit Price,Sold Price,Quantity,Total
42586,,25900336776,SWISHER SWEETS BLK CIGARILLOS 2/$1.49 15*2PK | SWISHER SWEETS BLK - COCOA,15.39,15.39,1,15.39
42586,,25900435776,SWISHER SWEETS BLK CIGARILLOS 2/$1.49 15*2PK | SWISHER SWEETS BLK - CREAM,15.39,15,1,15
42586,,25900297695,SWISHER SWEETS BLK CIGARILLOS 2/$1.49 15*2PK | SWISHER SWEETS BLK - WINE,15.39,15.39,1,15.39
42586,,25900454661,SWISHER SWEETS CIGARILLOS 2/$1.39 30*2PK | SWISHER SWEETS  COOKIES N CREAME CIGARILLOS,31.99,28,1,28
42586,,25900344689,SWISHER SWEETS CIGARILLOS 2/$1.39 30*2PK | SWISHER SWEETS CREAM CIGARILLOS,29.9,28,1,28
42586,,25900345686,SWISHER SWEETS CIGARILLOS 2/$1.39 30*2PK | SWISHER SWEETS PEPPERMINT,29.99,29.99,1,29.99
42586,,25900345570,SWISHER SWEETS CIGARILLOS 2/$1.39 30*2PK | SWISHER SWEETS SILVER CIGARILLOS,28.79,28,1,28
42586,,25900345594,SWISHER SWEETS CIGARILLOS 2/$1.39 30*2PK | SWISHER SWEETS STRAWBERRY CIGARILLOS,28.79,28.79,1,28.79
42586,,25900345525,SWISHER SWEETS CIGARILLOS 2/$1.39 30*2PK | SWISHER SWEETS SWEETS CIGARILLOS,31.5,31,1,31
42586,,25900359560,SWISHER SWEETS LEAF $2.49 10*3PK | SWISHER SWEETS LEAF DARK STOUT,18.9,18,1,18
42586,,25900359553,SWISHER SWEETS LEAF $2.49 10*3PK | SWISHER SWEETS LEAF IRISH CREAM,18.9,18,1,18
42586,,25900001544,SWISHER SWEETS LEAF $2.49 10*3PK | SWISHER SWEETS LEAF NEON LIGHTS,18.65,18,1,18
42586,,25900359508,SWISHER SWEETS LEAF $2.49 10*3PK | SWISHER SWEETS LEAF ORIGINAL,18.65,18,1,18
42586,,25900359546,SWISHER SWEETS LEAF $2.49 10*3PK | SWISHER SWEETS LEAF PEACH BRANDY,18.65,18,1,18
42586,,25900240868,SWISHER SWEETS MINI CIGARILLOS 15*3PK | SWISHER SWEETS MINI CIGARILLOS BLUEBERRY,21.9,21.9,1,21.9
42586,,25900240790,SWISHER SWEETS MINI CIGARILLOS 15*3PK | SWISHER SWEETS MINI CIGARILLOS DIAMONDS,21.9,21,1,21
42586,,25900240776,SWISHER SWEETS MINI CIGARILLOS 15*3PK | SWISHER SWEETS MINI CIGARILLOS GREEN SWEET,21.55,21.55,1,21.55
42586,,25900240929,SWISHER SWEETS MINI CIGARILLOS 15*3PK | SWISHER SWEETS MINI CIGARILLOS ISLAND BASH,21.55,21.55,1,21.55
42586,,25900240806,SWISHER SWEETS MINI CIGARILLOS 15*3PK | SWISHER SWEETS MINI CIGARILLOS SWEET CIGARILLOS,21.55,21,1,21
42586,,25900240813,SWISHER SWEETS MINI CIGARILLOS 15*3PK | WISHER SWEETS MINI CIGARILLOS GRAPE,21.9,21.9,1,21.9
42586,,31700237762,WHITE OWL CIGARILLOS 2/$1.19 30*2 PK | WHITE OWL BLUE RASPBERRY CIGARILLOS,25.9,25,1,25
42586,,31700237748,WHITE OWL CIGARILLOS 2/$1.19 30*2 PK | WHITE OWL GREEN SWEETS CIGARILLOS,26.77,26.77,1,26.77
42586,,463282494965,WHITE OWL CIGARILLOS 2/$1.19 30*2 PK | WHITE OWL MAPLE BOURBON  CIGARILLOS,25.9,25,1,25
42586,,31700237786,WHITE OWL CIGARILLOS 2/$1.19 30*2 PK | WHITE OWL PINEAPPLE CIGARILLOS,25.9,25.9,1,25.9
42586,,31700237694,WHITE OWL CIGARILLOS 2/$1.19 30*2 PK | WHITE OWL SWEETS CIGARILLOS,25.9,25.9,1,25.9
42586,,31700238394,WHITE OWL CIGARILLOS 2/$1.19 30*2 PK | WHITE OWL SWIRL - TRIPLE GRAPE CIGARILLOS,25.9,25,1,25
42586,,31700237717,WHITE OWL CIGARILLOS 2/$1.19 30*2 PK | WHITE OWL WHITE GRAPE CIGARILLOS,25.25,25,1,25
42586,,31700237755,WHITE OWL CIGARILLOS 2/$1.19 30*2 PK | WHITE OWL WHITE PEACH CIGARILLOS,26.77,26.77,1,26.77
